annee;audience;region;name;age;taille;couleur_cheveux;longueur_cheveux;couleur_yeux;couleur_peau;rang;laureat_culture_generale;est_tombee;image
2023;6,7;Alsace;Camille Sedira;20;175;Bruns;Longs;Marrons;Blanche;;1;0;https://static.wikia.nocookie.net/miss/images/d/de/Alsace_2022.jpg/revision/latest?cb=20221122120746&path-prefix=fr
2023;6,7;Aquitaine;Orianne Galvez-Soto;23;176;Noirs;Courts;Noirs;Noire;15.0;0;0;https://static.wikia.nocookie.net/miss/images/1/1a/Aquitaine_2022.jpg/revision/latest?cb=20221122120819&path-prefix=fr
2023;6,7;Auvergne;Alissia Ladevèze;21;184;Chatains;Longs;Verts;Blanche;5.0;0;0;https://static.wikia.nocookie.net/miss/images/6/60/Auvergne_2022.jpg/revision/latest?cb=20221122120850&path-prefix=fr
2023;6,7;Bourgogne;Lara Lebretton;23;176;Blonds;Longs;Bleus;Blanche;;0;0;https://static.wikia.nocookie.net/miss/images/d/d4/Bourgogne_2022.jpg/revision/latest?cb=20221122120937&path-prefix=fr
2023;6,7;Bretagne;Enora Moal;20;171;Chatains;Mi-longs;Marrons;Blanche;;0;0;https://static.wikia.nocookie.net/miss/images/c/ce/Bretagne_2022.jpg/revision/latest?cb=20221122120959&path-prefix=fr
2023;6,7;Centre-Val-de-Loire;Coraline Larasle;22;177;Bruns;Longs;Marrons;Blanche;;0;0;https://static.wikia.nocookie.net/miss/images/4/4c/Centre-Val-de-Loire_2022.jpg/revision/latest?cb=20221122121158&path-prefix=fr
2023;6,7;Champagne-Ardenne;Solène Scholer;20;180;Blonds;Longs;Marrons;Blanche;;0;0;https://static.wikia.nocookie.net/miss/images/8/82/Champagne-Ardenne_2022.jpg/revision/latest?cb=20221122121459&path-prefix=fr
2023;6,7;Corse;Orianne Meloni;22;183;Chatains;Longs;Marrons;Blanche;;0;0;https://static.wikia.nocookie.net/miss/images/8/8d/Corse_2022.jpg/revision/latest?cb=20221122121532&path-prefix=fr
2023;6,7;Côte d'Azur;Flavy Barla;19;172;Blonds;Mi-longs;Verts;Blanche;6.0;0;0;https://static.wikia.nocookie.net/miss/images/7/77/C%C3%B4te_d%27Azur_2022.jpg/revision/latest?cb=20221122121611&path-prefix=fr
2023;6,7;Franche-Comté;Marion Navarro;19;173;Bruns;Longs;Marrons;Blanche;3.0;0;0;https://static.wikia.nocookie.net/miss/images/9/90/Franche-Comt%C3%A9_2022.jpg/revision/latest?cb=20221122121637&path-prefix=fr
2023;6,7;Guadeloupe;Indira Ampiot;18;177;Chatains;Mi-longs;Marrons;Métisse;1.0;0;0;https://static.wikia.nocookie.net/miss/images/d/dd/Guadeloupe_2022.jpg/revision/latest?cb=20221122121710&path-prefix=fr
2023;6,7;Guyane;Shaïna Robin;20;173;Blonds;Mi-longs;Marrons;Métisse;;0;0;https://static.wikia.nocookie.net/miss/images/f/f1/Guyane_2022.jpg/revision/latest?cb=20221122121736&path-prefix=fr
2023;6,7;Île-de-France;Adèle Bonnamour;18;186;Bruns;Longs;Marrons;Blanche;;0;0;https://static.wikia.nocookie.net/miss/images/2/26/%C3%8Ele-de-France_2022.jpg/revision/latest?cb=20221122121816&path-prefix=fr
2023;6,7;Languedoc;Cameron Vallière;23;174;Bruns;Mi-longs;Noirs;Blanche;10.0;0;0;https://static.wikia.nocookie.net/miss/images/5/55/Languedoc_2022.jpg/revision/latest?cb=20221122121849&path-prefix=fr
2023;6,7;Limousin;Salomé Maud;23;174;Blonds;Mi-longs;Bleus;Blanche;;0;0;https://static.wikia.nocookie.net/miss/images/9/91/Limousin_2022.jpg/revision/latest?cb=20221122121904&path-prefix=fr
2023;6,7;Lorraine;Sarah Aoutar;25;173;Noirs;Longs;Noirs;Métisse;7.0;0;0;https://static.wikia.nocookie.net/miss/images/6/62/Lorraine_2022.jpg/revision/latest?cb=20221122121933&path-prefix=fr
2023;6,7;Martinique;Axelle René;21;177;Noirs;Courts;Noirs;Noire;4.0;0;0;
2023;6,7;Midi-Pyrénées;Florence Demortier;22;171;Chatains;Longs;Marrons;Blanche;8.0;0;0;
2023;6,7;Nord-Pas-de-Calais;Agathe Cauet;23;179;Blonds;Longs;Verts;Blanche;2.0;0;0;
2023;6,7;Normandie;Perrine Prunier;23;171;Bruns;Longs;Marrons;Blanche;;1;0;
2023;6,7;Nouvelle-Calédonie;Océane Le Goff;26;173;Roux;Courts;Marrons;Blanche;;0;0;https://static.wikia.nocookie.net/miss/images/f/ff/Miss_Nouvelle-Cal%C3%A9donie_2022.jpg/revision/latest?cb=20230915071010&path-prefix=fr
2023;6,7;Pays de la Loire;Emma Guibert;20;176;Chatains;Longs;Marrons;Blanche;12.0;0;0;
2023;6,7;Picardie;Bérénice Legendre;25;171;Noirs;Longs;Bleus;Blanche;9.0;0;0;
2023;6,7;Poitou-Charentes;Marine Paulais;20;175;Chatains;Mi-longs;Marrons;Blanche;14.0;0;0;
2023;6,7;Provence;Chana Goyons;18;180;Chatains;Longs;Marrons;Blanche;;0;0;
2023;6,7;Réunion;Marion Marimoutou;18;172;Noirs;Mi-longs;Marrons;Métisse;;0;0;
2023;6,7;Rhône-Alpes;Esther Coutin;24;171;Chatains;Longs;Marrons;Blanche;11.0;0;0;
2023;6,7;Roussillon;Chiara Fontaine;20;174;Bruns;Longs;Marrons;Métisse;13.0;1;1;https://static.wikia.nocookie.net/miss/images/f/fc/Roussillon_2022.jpg/revision/latest?cb=20221122122506&path-prefix=fr
2023;6,7;Saint-Martin Saint-Barthélemy;Inès Tessier;20;170;Blonds;Longs;Marrons;Blanche;;0;0;
2023;6,7;Tahiti;Herenui Tuheiava;23;177;Noirs;Longs;Noirs;Métisse;;0;0;
2024;7,54;Alsace;Adeline Vetter;27;171;Chatains;Mi-longs;Bleus;Blanche;;1;0;
2024;7,54;Aquitaine;Lola Turpin;19;173;Bruns;Longs;Marrons;Blanche;;0;0;
2024;7,54;Auvergne;Oriane Mallet;22;183;Blonds;Mi-longs;Bleus;Blanche;;0;0;
2024;7,54;Bourgogne;Luna Lacharme;18;175;Bruns;Mi-longs;Marrons;Métisse;10.0;0;0;
2024;7,54;Bretagne;Noémie Le Bras;21;175;Roux;Longs;Verts;Blanche;;0;0;
2024;7,54;Centre-Val de Loire;Emmy Gisclon;22;176;Bruns;Mi-longs;Marrons;Blanche;13.0;0;0;
2024;7,54;Champagne-Ardenne;Noa Dutitre;21;170;Blonds;Longs;Bleus;Blanche;;0;0;
2024;7,54;Corse;Sandra Bak;22;171;Chatains;Mi-longs;Verts;Blanche;14.0;0;0;
2024;7,54;Côte d'Azur;Karla Bchir;19;175;Noirs;Mi-longs;Marrons;Blanche;12.0;0;0;
2024;7,54;Franche-Comté;Sonia Coutant;24;172;Noirs;Longs;Noirs;Blanche;;0;0;
2024;7,54;Guadeloupe;Jalylane Maës;18;173;Noirs;Courts;Noirs;Noire;4.0;1;0;
2024;7,54;Guyane;Audrey Ho-Wen-Tsaï;17;173;Bruns;Longs;Marrons;Noire;2.0;0;0;
2024;7,54;Île-de-France;Elena Faliez;28;174;Chatains;Mi-longs;Marrons;Blanche;8.0;0;0;
2024;7,54;Languedoc;Maxime Teissier;19;173;Blonds;Longs;Bleus;Blanche;5.0;0;0;
2024;7,54;Limousin;Agathe Toullieu;21;177;Bruns;Longs;Marrons;Blanche;;0;0;
2024;7,54;Lorraine;Angéline Aron-Clauss;26;170;Roux;Courts;Marrons;Blanche;;0;0;
2024;7,54;Martinique;Chléo Modestine;21;175;Noirs;Courts;Noirs;Noire;;0;0;
2024;7,54;Mayotte;Houdayifa Chibaco;21;172;Noirs;Courts;Noirs;Noire;;0;0;
2024;7,54;Midi-Pyrénées;Nadine Benaboud;22;171;Bruns;Longs;Marrons;Métisse;15.0;0;0;
2024;7,54;Nord-Pas-de-Calais;Ève Gilles;20;171;Noirs;Courts;Noirs;Métisse;1.0;0;0;
2024;7,54;Normandie;Wissem Morel-Omari;21;176;Bruns;Mi-longs;Marrons;Blanche;6.0;0;0;
2024;7,54;Nouvelle-Calédonie;Emma Grousset;21;180;Blonds;Longs;Bleus;Blanche;;0;0;
2024;7,54;Pays de la Loire;Clémence Ménard;25;174;Chatains;Longs;Gris;Blanche;9.0;0;0;
2024;7,54;Picardie;Charlotte Cresson;23;171;Bruns;Mi-longs;Marrons;Blanche;;0;0;
2024;7,54;Poitou-Charentes;Lounès Texier;18;173;Chatains;Mi-longs;Verts;Blanche;;0;0;
2024;7,54;Provence;Adélina Blanc;25;173;Blonds;Longs;Gris;Blanche;3.0;0;0;
2024;7,54;Réunion;Mélanie Odules;20;178;Bruns;Mi-longs;Noirs;Métisse;;0;0;
2024;7,54;Rhône-Alpes;Alizée Bidaut;22;174;Blonds;Mi-longs;Bleus;Blanche;;0;0;
2024;7,54;Roussillon;Élise Aquilina;21;171;Bruns;Longs;Marrons;Blanche;11.0;1;0;
2024;7,54;Tahiti;Ravahere Silloux;24;172;Bruns;Longs;Marrons;Métisse;7.0;0;0;
